Authors,Title,Publication,Volume,Number,Pages,Year,Publisher
"Grundy, John; Hosking, John; Mugridge, Warwick B; ",Inconsistency management for multiple-view software development environments,IEEE Transactions on Software Engineering,24,11,960-981,1998,IEEE
"Grundy, John; ",Aspect-oriented requirements engineering for component-based software systems,1999 IEEE International Symposium on Requirements Engineering (RE'99).,,,84-91,1999,IEEE
"Mapelsden, David; Hosking, John; Grundy, John; ",Design pattern modelling and instantiation using DPML,2002 Conference on Technology of Object-Oriented Languages and Systems Pacific (TOOLS Pacific 2002),,,3-11,2002,"Australian Computer Society, Inc."
"Grundy, John; ","Multi-perspective specification, design and implementation of software components using aspects",International Journal of Software Engineering and Knowledge Engineering,10,06,713-734,2000,World Scientific Publishing Company
"Mehra, Akhil; Grundy, John; Hosking, John; ",A generic approach to supporting diagram differencing and merging for collaborative design,20th IEEE/ACM International Conference on Automated Software Engineering (ASE 2005),,,204-213,2005,ACM
"Grundy, John C; Apperley, Mark D; Hosking, John G; Mugridge, Warwick B; ",A decentralized architecture for software process modeling and enactment,IEEE Internet Computing,2,5,53-62,1998,IEEE
"Grundy, John C; Hosking, John G; ","Serendipity: integrated environment support for process modelling, enactment and work coordination",Automated Software Engineering,5,1,27-60,1998,Springer
"Zhu, Nianping; Grundy, John; Hosking, John; ",Pounamu: A meta-tool for multi-view visual language environment construction,2004 IEEE Symposium on Visual Languages and Human Centric Computing (VL 2004),,,254-256,2004,IEEE
"Chen, Qi; Grundy, John; Hosking, John; ",An e-whiteboard application to support early design-stage sketching of UML diagrams,2003 IEEE Symposium on Human Centric Computing Languages and Environments (HCC 2003).,,,219-226,2003,IEEE
"Grundy, John; Mugridge, Warwick; Hosking, John; ",Constructing component-based software engineering environments: issues and experiences,Information and Software Technology,42,2,103-114,2000,Elsevier
"Grundy, John C; Hosking, John G; Mugridge, Warwick B; ",Supporting flexible consistency management via discrete change description propagation,Software - Practice & Experience,26,9,1053-1083,1996,Wiley
"Grundy, John; Cai, Yuhong; Liu, Anna; ",SoftArch/MTE: Generating distributed system test-beds from high-level software architecture descriptions,Automated Software Engineering,12,1,5-39,2005,Kluwer Academic Publishers
"Grundy, John; Hosking, John; ",High-level static and dynamic visualisation of software architectures,2000 IEEE International Symposium on Visual Languages (VL 2000),,,5-12,2000,IEEE
"Panas, Thomas; Berrigan, Rebecca; Grundy, John; ",A 3D metaphor for software production visualization,7th IEEE International Conference on Information Visualization (IV 2003),,,314-319,2003,IEEE
"Noble, James; Grundy, John; ",Explicit relationships in object-oriented development,1995 Conference on Technology of Object-Oriented Languages and Systems Pacific (TOOLS Pacific 1995),18,,211-225,1995,IEEE
"Grundy, John; Hosking, John; ",Developing adaptable user interfaces for component-based systems,Interacting with computers,14,3,175-194,2002,Elsevier
"Grundy, John C; Venable, John R; ",Towards an integrated environment for method engineering,"IFIP TC8, WG8.1/8.2 Method Engineering 1996 (ME 1996)",1,8.2,45-62,1996,
"Grundy, John; Hosking, John; ",Engineering plug‐in software components to support collaborative work,Software: Practice and Experience,32,10,983-1013,2002,"John Wiley & Sons, Ltd."
"Grundy, John; Mugridge, Rick; Hosking, John; Apperley, Mark; ","Tool integration, collaboration and user interaction issues in component-based software architectures",Technology of Object-Oriented Languages Pacific 1998 (TOOLS 28).,,,299-312,1998,IEEE
"Grundy, John C; Mugridge, Warwick B; Hosking, John G; Amor, Robert W; ","Support for collaborative, integrated software development",1995 Conference on Software Engineering Environments (SEE'95),,,84-94,1995,IEEE
"Dai, Xiaoling; Grundy, John; ","NetPay: An off-line, decentralized micro-payment system for thin-client applications",Electronic Commerce Research and Applications,6,1,91-101,2007,Elsevier
"Kot, Blazej; Wuensche, Burkhard; Grundy, John; Hosking, John; ",Information visualisation utilising 3D computer game engines case study: a source code comprehension tool,6th ACM SIGCHI New Zealand chapter's international conference on Computer-human interaction,,,53-60,2005,ACM
"Grundy, John; Hosking, John; Zhu, Nianping; Liu, Na; ",Generating domain-specific visual language editors from high-level tool specifications,"21st IEEE/ACM International Conference on Automated Software Engineering, 2006. ASE'06.",,,25-36,2006,IEEE
"Grundy, John; Hosking, John; Huh, Jun; Li, Karen Na-Liu; ",Marama: an eclipse meta-toolset for generating multi-view environments,30th international Conference on Software Engineering (ICSE 2008),,,819-822,2008,ACM
"Grundy, John; Patel, Rakesh; ","Developing software components with the UML, Enterprise Java Beans and aspects",2001 Australian Software Engineering Conference (ASWEC 2001).,,,127-136,2001,IEEE
"Grundy, John; Venable, John; ",Providing integrated support for multiple development notations,1995 Conference on Advanced Information Systems Engineering (CAiSE*95),,,255-268,1995,Springer Berlin/Heidelberg
"Grundy, John C.; Mugridge, WB; Hosking, John G.; ",Visual specification of multi-view visual environments,1998 IEEE Symposium on Visual Languages (VL 1998).,,,236-243,1998,IEEE
